 -- Frame 397 Framerate: 11.8 [Low Framerate]
 -- Frame 398 Framerate: 17.3 [Low Framerate]
 -- Frame 399 Framerate: 12.7 [Low Framerate]
 -- Frame 400 Framerate: 12.8 [Low Framerate]
 -- Frame 401 Framerate: 12.7 [Low Framerate]
 -- Frame 402 Framerate: 12.4 [Low Framerate]
 -- Frame 403 Framerate: 16.2 [Low Framerate]
 -- Frame 404 Framerate: 11.9 [Low Framerate]
 -- Frame 405 Framerate: 14.3 [Low Framerate]
 -- Frame 406 Framerate: 15.5 [Low Framerate]
 -- Frame 407 Framerate: 14.7 [Low Framerate]
 -- Frame 408 Framerate: 13.4 [Low Framerate]
 -- Frame 409 Framerate: 10.8 [Low Framerate]
 -- Frame 410 Framerate: 12.4 [Low Framerate]
 -- Frame 411 Framerate: 16.5 [Low Framerate]
 -- Frame 412 Framerate: 13.0 [Low Framerate]
 -- Frame 413 Framerate: 12.1 [Low Framerate]
 -- Frame 414 Framerate: 16.2 [Low Framerate]
 -- Frame 415 Framerate: 12.7 [Low Framerate]
 -- Frame 416 Framerate: 10.8 [Low Framerate]
 -- Frame 417 Framerate: 11.3 [Low Framerate]
 -- Frame 418 Framerate: 15.2 [Low Framerate]
 -- Frame 419 Framerate: 16.4 [Low Framerate]
 -- Frame 420 Framerate: 12.0 [Low Framerate]
 -- Frame 421 Framerate: 16.5 [Low Framerate]
 -- Frame 422 Framerate: 13.7 [Low Framerate]
 -- Frame 423 Framerate: 10.8 [Low Framerate]
 -- Frame 424 Framerate: 13.4 [Low Framerate]
 -- Frame 425 Framerate: 13.2 [Low Framerate]
 -- Frame 426 Framerate: 13.7 [Low Framerate]
 -- Frame 427 Framerate: 13.8 [Low Framerate]
 -- Frame 428 Framerate: 12.4 [Low Framerate]
 -- Frame 429 Framerate: 14.8 [Low Framerate]
 -- Frame 430 Framerate: 17.9 [Low Framerate]
 -- Frame 431 Framerate: 14.5 [Low Framerate]
 -- Frame 432 Framerate: 12.3 [Low Framerate]
 -- Frame 433 Framerate: 11.9 [Low Framerate]
 -- Frame 434 Framerate: 11.4 [Low Framerate]
 -- Frame 435 Framerate: 16.5 [Low Framerate]
 -- Frame 436 Framerate: 12.4 [Low Framerate]
 -- Frame 437 Framerate: 11.9 [Low Framerate]
 -- Frame 438 Framerate: 9.5 [Very Low Framerate]
 -- Frame 439 Framerate: 10.4 [Low Framerate]
 -- Frame 440 Framerate: 11.1 [Low Framerate]
 -- Frame 441 Framerate: 12.1 [Low Framerate]
 -- Frame 442 Framerate: 15.2 [Low Framerate]
 -- Frame 443 Framerate: 15.1 [Low Framerate]
 -- Frame 444 Framerate: 12.6 [Low Framerate]
 -- Frame 445 Framerate: 12.4 [Low Framerate]
 -- Frame 446 Framerate: 15.1 [Low Framerate]
 -- Frame 447 Framerate: 14.4 [Low Framerate]
 -- Frame 448 Framerate: 12.6 [Low Framerate]
 -- Frame 449 Framerate: 11.3 [Low Framerate]
 -- Frame 450 Framerate: 11.0 [Low Framerate]
 -- Frame 451 Framerate: 12.5 [Low Framerate]
 -- Frame 452 Framerate: 12.7 [Low Framerate]
 -- Frame 453 Framerate: 13.2 [Low Framerate]
 -- Frame 454 Framerate: 13.1 [Low Framerate]
 -- Frame 455 Framerate: 13.1 [Low Framerate]
 -- Frame 456 Framerate: 13.9 [Low Framerate]
 -- Frame 457 Framerate: 13.8 [Low Framerate]
 -- Frame 458 Framerate: 14.0 [Low Framerate]
 -- Frame 459 Framerate: 12.1 [Low Framerate]
 -- Frame 460 Framerate: 15.6 [Low Framerate]
 -- Frame 461 Framerate: 12.5 [Low Framerate]
 -- Frame 462 Framerate: 12.6 [Low Framerate]
 -- Frame 463 Framerate: 12.1 [Low Framerate]
 -- Frame 464 Framerate: 15.4 [Low Framerate]
 -- Frame 465 Framerate: 14.9 [Low Framerate]
 -- Frame 466 Framerate: 17.9 [Low Framerate]
 -- Frame 467 Framerate: 12.7 [Low Framerate]
 -- Frame 468 Framerate: 13.8 [Low Framerate]
 -- Frame 469 Framerate: 13.1 [Low Framerate]
 -- Frame 470 Framerate: 12.4 [Low Framerate]
 -- Frame 471 Framerate: 13.0 [Low Framerate]
 -- Frame 472 Framerate: 14.1 [Low Framerate]
 -- Frame 473 Framerate: 12.3 [Low Framerate]
 -- Frame 474 Framerate: 15.3 [Low Framerate]
 -- Frame 475 Framerate: 17.2 [Low Framerate]
 -- Frame 476 Framerate: 14.4 [Low Framerate]
 -- Frame 477 Framerate: 14.0 [Low Framerate]
 -- Frame 478 Framerate: 13.5 [Low Framerate]
 -- Frame 479 Framerate: 13.2 [Low Framerate]
 -- Frame 480 Framerate: 10.1 [Low Framerate]
 -- Frame 481 Framerate: 12.0 [Low Framerate]
 -- Frame 482 Framerate: 5.4 [Very Low Framerate]
 -- Frame 483 Framerate: 6.3 [Very Low Framerate]
 -- Frame 484 Framerate: 5.7 [Very Low Framerate]
 -- Frame 485 Framerate: 5.8 [Very Low Framerate]
 -- Frame 486 Framerate: 5.7 [Very Low Framerate]
 -- Frame 487 Framerate: 5.2 [Very Low Framerate]
 -- Frame 488 Framerate: 7.8 [Very Low Framerate]
 -- Frame 489 Framerate: 13.2 [Low Framerate]
 -- Frame 490 Framerate: 14.2 [Low Framerate]
 -- Frame 491 Framerate: 15.4 [Low Framerate]
 -- Frame 492 Framerate: 17.8 [Low Framerate]
 -- Frame 493 Framerate: 12.9 [Low Framerate]
