 -- Frame 453 Framerate: 14.9 [Low Framerate]
 -- Frame 454 Framerate: 10.9 [Low Framerate]
 -- Frame 455 Framerate: 19.5 [Low Framerate]
 -- Frame 456 Framerate: 15.2 [Low Framerate]
 -- Frame 457 Framerate: 19.4 [Low Framerate]
 -- Frame 458 Framerate: 17.4 [Low Framerate]
 -- Frame 459 Framerate: 18.8 [Low Framerate]
 -- Frame 460 Framerate: 16.6 [Low Framerate]
 -- Frame 461 Framerate: 11.5 [Low Framerate]
 -- Frame 462 Framerate: 17.5 [Low Framerate]
 -- Frame 463 Framerate: 17.8 [Low Framerate]
 -- Frame 464 Framerate: 15.2 [Low Framerate]
 -- Frame 465 Framerate: 17.8 [Low Framerate]
 -- Frame 466 Framerate: 18.1 [Low Framerate]
 -- Frame 467 Framerate: 16.8 [Low Framerate]
 -- Frame 468 Framerate: 17.8 [Low Framerate]
 -- Frame 469 Framerate: 18.2 [Low Framerate]
 -- Frame 470 Framerate: 17.7 [Low Framerate]
 -- Frame 471 Framerate: 18.0 [Low Framerate]
 -- Frame 472 Framerate: 17.3 [Low Framerate]
 -- Frame 473 Framerate: 18.6 [Low Framerate]
 -- Frame 474 Framerate: 19.9 [Low Framerate]
 -- Frame 475 Framerate: 17.5 [Low Framerate]
 -- Frame 476 Framerate: 20.4 [Okay Framerate]
 -- Frame 477 Framerate: 12.6 [Low Framerate]
 -- Frame 478 Framerate: 33.2 [Good Framerate]
 -- Frame 479 Framerate: 26.1 [Good Framerate]
 -- Frame 480 Framerate: 44.3 [Very Good Framerate]
 -- Frame 481 Framerate: 44.9 [Very Good Framerate]
 -- Frame 482 Framerate: 38.6 [Good Framerate]
 -- Frame 483 Framerate: 49.5 [Very Good Framerate]
 -- Frame 484 Framerate: 42.5 [Very Good Framerate]
 -- Frame 485 Framerate: 44.2 [Very Good Framerate]
 -- Frame 486 Framerate: 44.2 [Very Good Framerate]
 -- Frame 487 Framerate: 43.6 [Very Good Framerate]
 -- Frame 488 Framerate: 43.8 [Very Good Framerate]
 -- Frame 489 Framerate: 43.8 [Very Good Framerate]
